blue factor,SSIM,CIE2000,Brigtness,EML,Δu'v',Duv,SsRGB
1.00 ,1.0000 ,0.0000 ,82.5455 ,,0.0000 ,-0.0012 ,1.0000 
0.90 ,0.9865 ,4.3653 ,81.3836 ,,0.0171 ,0.0030 ,0.9581 
0.80 ,0.9770 ,8.3703 ,80.2679 ,,0.0309 ,0.0085 ,0.9257 
0.70 ,0.9597 ,12.6557 ,79.2420 ,,0.0436 ,0.0141 ,0.8905 
0.60 ,0.9369 ,16.8797 ,78.4590 ,,0.0545 ,0.0190 ,0.8542 
0.50 ,0.9038 ,21.4387 ,77.8299 ,,0.0645 ,0.0237 ,0.8158 
