nm,melanopic
380.00 ,0.0000104721338836978 
385.00 ,0.0000190156844064420 
390.00 ,0.0000352933669308764 
395.00 ,0.0000670683875537189 
400.00 ,0.0001303387126481170 
405.00 ,0.0002601735214761150 
410.00 ,0.0005264208618442440 
415.00 ,0.0009064706751992490 
420.00 ,0.0015652607852743300 
425.00 ,0.0021339278976757400 
430.00 ,0.0028954603034217600 
435.00 ,0.0036575102250558500 
440.00 ,0.0045803019919040000 
445.00 ,0.0054062347132390000 
450.00 ,0.0063154000501120500 
455.00 ,0.0071815191500184800 
460.00 ,0.0080756496160650100 
465.00 ,0.0089557843461664100 
470.00 ,0.0098120478532946800 
475.00 ,0.0104672115463820000 
480.00 ,0.0110132053212029000 
485.00 ,0.0112985331179693000 
490.00 ,0.0114055015515914000 
495.00 ,0.0113145117613115000 
500.00 ,0.0110171631320166000 
505.00 ,0.0105192790345066000 
510.00 ,0.0098416715572693800 
515.00 ,0.0089559814863070600 
520.00 ,0.0079796086929326500 
525.00 ,0.0069507649844414500 
530.00 ,0.0059229763026251600 
535.00 ,0.0049332591914626800 
540.00 ,0.0040113973733091800 
545.00 ,0.0031836769720730100 
550.00 ,0.0024604205001022500 
555.00 ,0.0018483286694859300 
560.00 ,0.0013518441811434800 
565.00 ,0.0009620052236497200 
570.00 ,0.0006695174324025970 
575.00 ,0.0004563215018889100 
580.00 ,0.0003065198502813560 
585.00 ,0.0002037301619892570 
590.00 ,0.0001344724689029500 
595.00 ,0.0000882135195459641 
600.00 ,0.0000577901250308428 
605.00 ,0.0000378396101915848 
610.00 ,0.0000248295043049078 
615.00 ,0.0000163457189951845 
620.00 ,0.0000108045815949844 
625.00 ,0.0000071586396412652 
630.00 ,0.0000047669910552814 
635.00 ,0.0000031912702544053 
640.00 ,0.0000021481213948527 
645.00 ,0.0000014523405365549 
650.00 ,0.0000009874322220782 
655.00 ,0.0000006751074252370 
660.00 ,0.0000004641413786952 
665.00 ,0.0000003208600056396 
670.00 ,0.0000002230172679159 
675.00 ,0.0000001556625962095 
680.00 ,0.0000001092232708015 
685.00 ,0.0000000770356083816 
690.00 ,0.0000000546100298527 
695.00 ,0.0000000388746418773 
700.00 ,0.0000000278087738094 
705.00 ,0.0000000199883631643 
710.00 ,0.0000000144348224765 
715.00 ,0.0000000104711381573 
720.00 ,0.0000000076301769750 
725.00 ,0.0000000055833440918 
730.00 ,0.0000000041033144908 
735.00 ,0.0000000030280861666 
740.00 ,0.0000000022439227184 
745.00 ,0.0000000016694287081 
750.00 ,0.0000000012469903660 
755.00 ,0.0000000009347798104 
760.00 ,0.0000000007034336718 
765.00 ,0.0000000005314005561 
770.00 ,0.0000000004029248934 
775.00 ,0.0000000003065832661 
780.00 ,0.0000000002341072271 
