SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2025/05/24 15:19:49
Spectro-Module Model Name :,
Spectro-Module Serial Number :,OS361AC55003443
Wavelength Start :,300
Wavelength End :,1000
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,NA
-----------Spectrum Setting ------------
Integration Time :,800ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
300.27,      -1.180176
300.89,      -5.450195
301.51,      -9.662109
302.13,      -8.233887
302.75,       9.009277
303.37,       41.85059
303.99,       86.23096
304.62,       129.8237
305.24,       152.3345
305.86,       149.4624
306.48,       128.0913
307.11,       98.23682
307.73,       76.60059
308.36,       68.91846
308.98,       70.11133
309.61,       78.81543
310.23,        92.5835
310.86,       108.7012
311.48,       127.8286
312.11,        143.792
312.74,        146.397
313.36,       133.5015
313.99,       106.9824
314.62,       74.51465
315.25,       49.05957
315.88,       34.99756
316.51,       31.04736
317.14,       31.12842
317.77,       24.67773
318.40,       9.945801
319.03,      -9.731934
319.66,      -24.46777
320.29,      -18.79248
320.93,       8.661621
321.56,       50.68555
322.19,       92.36426
322.83,       110.5391
323.46,         99.875
324.10,       68.34473
324.73,       27.68311
325.37,      -3.033203
326.00,      -17.17188
326.64,      -20.06836
327.27,      -14.71045
327.91,      -6.000488
328.55,       2.851563
329.19,       13.06494
329.83,       22.04736
330.46,       24.71143
331.10,       20.42041
331.74,       11.06689
332.38,      -2.147461
333.02,      -16.31592
333.66,      -29.42773
334.31,      -42.37158
334.95,      -49.44678
335.59,      -41.94629
336.23,      -19.73242
336.87,       14.19189
337.52,       47.74707
338.16,       61.36328
338.81,        51.1084
339.45,       22.85352
340.09,      -10.85498
340.74,      -29.12354
341.39,      -26.72314
342.03,      -10.59814
342.68,       10.91455
343.33,       24.00537
343.97,       24.84131
344.62,       19.53125
345.27,       10.00488
345.92,     -0.8896484
346.57,      -11.44043
347.22,       -24.7124
347.87,      -34.48242
348.52,      -30.29736
349.17,      -11.43213
349.82,       20.28662
350.47,        49.6958
351.12,        52.0835
351.77,       23.53613
352.43,      -28.62061
353.08,      -82.57715
353.73,      -102.9448
354.39,      -82.46875
355.04,      -32.59961
355.70,       23.99707
356.35,       50.58594
357.01,       38.38525
357.66,      0.3828125
358.32,      -45.89258
358.98,      -72.66602
359.63,      -71.37891
360.29,      -51.58447
360.95,      -20.92773
361.61,       9.056641
362.27,       32.84424
362.93,       53.54395
363.59,       69.89795
364.25,       79.18994
364.91,       81.32959
365.57,       76.32666
366.23,       65.89941
366.89,       54.06396
367.55,       42.95801
368.22,       32.68701
368.88,       25.79883
369.54,       25.52539
370.21,       32.03613
370.87,       44.48584
371.54,       58.54053
372.20,       66.88818
372.87,       67.60742
373.53,       62.34131
374.20,       54.37207
374.87,       49.48047
375.53,       49.16895
376.20,       51.25635
376.87,       53.59131
377.54,       53.04688
378.21,       48.31738
378.87,       40.27393
379.54,       29.85449
380.21,       18.08789
380.88,        6.12207
381.56,      -4.856445
382.23,      -15.71289
382.90,      -27.77197
383.57,      -40.73047
384.24,      -54.66943
384.92,      -63.68555
385.59,      -58.86621
