Subset,Image,Model,CIEDE2000,Delta_uv_prime,Duv,EML,BlueEnergyPerPixel
camera,camera_29.png,compensation_once,19.4088,0.0794,-0.0043,99.5338,23867.471290
camera,camera_29.png,compensation_twice,12.9591,0.0296,-0.0003,127.3326,43914.533165
camera,camera_29.png,pure_transform_2700k,19.7964,0.0909,-0.0058,92.0207,22774.672175
camera,camera_2.png,compensation_once,21.7371,0.0945,-0.0001,128.2069,34498.618945
camera,camera_2.png,compensation_twice,20.0964,0.0742,0.0127,141.8120,49471.589080
camera,camera_2.png,pure_transform_2700k,22.6166,0.0973,-0.0018,125.3735,32217.263985
camera,camera_30.png,compensation_once,20.0872,0.1008,-0.0127,117.8342,12008.359133
camera,camera_30.png,compensation_twice,13.1889,0.0555,0.0011,166.3651,29177.053265
camera,camera_30.png,pure_transform_2700k,20.5677,0.1063,-0.0122,108.0827,11107.109229
camera,camera_3.png,compensation_once,19.3638,0.0784,-0.0012,109.6705,22979.880776
camera,camera_3.png,compensation_twice,13.9700,0.0359,0.0096,138.3060,44012.436833
camera,camera_3.png,pure_transform_2700k,20.2749,0.0876,-0.0020,99.8682,21793.062920
camera,camera_4.png,compensation_once,21.0447,0.0795,0.0237,114.7696,9281.248148
camera,camera_4.png,compensation_twice,17.5600,0.0464,0.0363,139.8793,17147.475585
camera,camera_4.png,pure_transform_2700k,16.6995,0.0710,0.0250,108.1256,5588.431404
camera,camera_5.png,compensation_once,21.5090,0.0883,0.0005,117.9785,33748.975570
camera,camera_5.png,compensation_twice,19.4935,0.0664,0.0102,132.9047,48697.024551
camera,camera_5.png,pure_transform_2700k,22.4857,0.0940,-0.0000,112.5589,32649.687713
camera,camera_6.png,compensation_once,19.2281,0.0763,0.0052,120.1637,20002.975165
camera,camera_6.png,compensation_twice,16.3450,0.0525,0.0267,140.8916,35645.067650
camera,camera_6.png,pure_transform_2700k,19.3772,0.0825,0.0027,110.2071,17501.961672
camera,camera_7.png,compensation_once,19.9492,0.0839,-0.0003,120.3386,26739.687740
camera,camera_7.png,compensation_twice,16.5307,0.0519,0.0131,140.1081,44531.250087
camera,camera_7.png,pure_transform_2700k,20.9398,0.0899,-0.0008,113.3231,24328.863286
camera,camera_8.png,compensation_once,19.6847,0.0761,0.0020,98.7750,15853.003680
camera,camera_8.png,compensation_twice,13.3899,0.0309,0.0167,133.8274,35871.151905
camera,camera_8.png,pure_transform_2700k,18.7685,0.0822,-0.0005,93.1563,14510.888630
camera,camera_9.png,compensation_once,18.9220,0.0739,-0.0024,98.3078,16351.532435
camera,camera_9.png,compensation_twice,14.6720,0.0329,0.0052,127.3831,31904.276762
camera,camera_9.png,pure_transform_2700k,18.2459,0.0811,-0.0039,89.6472,14899.245902
